NO,"TANGGAL
PEMESANAN",INSTANSI,ITEM PROJECT,QTY,SATUAN,HARGA,JUMLAH,RAB,REALISASI,PROFIT,SERAGAM SEKOLAH
17,5,Badan Pemerintahan & Kesejahteraan Rakyat Surabaya,Seragam SMA Pramuka Putra,1700,stell,"Rp  215,724","Rp  366,730,800","Rp  409,207,300","Rp  344,998,150","Rp  302,173,850",yes
18,5,Badan Pemerintahan & Kesejahteraan Rakyat Surabaya,Seragam SMA Pramuka Putri,1300,stell,"Rp  215,724","Rp  280,441,200",,,,yes
19,5,Sekolah Dasar Kota Surabaya,Seragam Merah Putih MBR SD Tahap I,3613,pcs,"Harga SSH Siplah
Toko Ladang","Rp  1,293,588,729","Rp  667,771,396","Rp  784,455,896","Rp  509,132,833",yes
,5,Sekolah Dasar Kota Surabaya,Seragam Pramuka MBR SD Tahap I,4800,pcs,,,,,,yes
,5,Sekolah Dasar Kota Surabaya,Atribut MBR SD Tahap I,7963,pcs,,,,,,yes
20,6,Sekolah Menengah Pertama Kota Surabaya,Seragam Biru Putih MBR SMP Tahap I,3598,pcs,,,,,,yes
,6,Sekolah Menengah Pertama Kota Surabaya,Seragam Pramuka MBR SMP Tahap I,2028,pcs,,,,,,yes
,6,Sekolah Menengah Pertama Kota Surabaya,Atribut MBR SMP Tahap I,1204,pcs,,,,,,yes
21,6,Balai Besar Wilayah Sungai Surabaya,Kaos Lapangan BBWS Uk. L-2XL,135,pcs,"Rp  125,000","Rp  17,334,000","Rp  13,778,000","Rp  12,490,670","Rp  4,843,330",no
,6,Balai Besar Wilayah Sungai Surabaya,Kaos Lapangan BBWS Uk. 3XL,3,pcs,"Rp  130,500","Rp  391,500",,,,no
22,7,Pertamina,Cuttlepack Pertamina,11,pcs,"Rp  254,880","Rp  2,803,680","Rp  1,836,250","Rp  2,650,250","Rp  330,930",no
,7,Pertamina,Permak Cuttlepack Pertamina,5,pcs,"Rp  35,000","Rp  175,000",,,,no
23,7,Balai Besar Wilayah Sungai Surabaya,Kaos Lapangan BBWS II Polo Putih Variasi,23,pcs,"Rp  172,000","Rp  3,956,000","Rp  3,778,000","Rp  2,927,950","Rp  4,416,550",no
,7,Balai Besar Wilayah Sungai Surabaya,Kaos Lapangan BBWS II Polo Navy Kuning,27,pcs,"Rp  125,500","Rp  3,388,500",,,,no
24,7,Badan Pemerintahan & Kesejahteraan Rakyat Surabaya,Seragam SMA Pramuka Putri,400,stell,"Rp  215,724",Rp  0,"Rp  54,924,213",Rp  0,Rp  0,yes
25,8,HMP AFI UINSA,PDH HMP AFI UINSA,47,pcs,"Rp  130,000","Rp  6,110,000","Rp  4,430,000","Rp  5,125,500","Rp  984,500",no
26,8,MTS - MA Al Kharimiyah Sumenep,Seragam Gamis Pondok ,129,pcs,"Rp  155,000","Rp  19,995,000","Rp  16,147,000","Rp  15,327,060","Rp  4,667,940",yes
27,8,Sekolah Dasar Kota Surabaya,Seragam Merah Putih MBR SD Tahap II,1835,pcs,"Harga SSH Siplah
Toko Ladang","Rp  742,656,561","Rp  120,850,029","Rp  277,941,029","Rp  464,715,532",yes
,8,Sekolah Dasar Kota Surabaya,Seragam Pramuka MBR SD Tahap II,1628,pcs,,,,,,yes
,8,Sekolah Dasar Kota Surabaya,Atribut MBR SD Tahap II,7498,pcs,,,,,,yes
28,8,Sekolah Menengah Pertama Kota Surabaya,Seragam Biru Putih MBR SMP Tahap II,526,pcs,,,,,,yes
,8,Sekolah Menengah Pertama Kota Surabaya,Seragam Pramuka MBR SMP Tahap II,322,pcs,,,,,,yes
,8,Sekolah Menengah Pertama Kota Surabaya,Atribut MBR SMP Tahap II,188,pcs,,,,,,yes
29,8,MTS - MA Al Kharimiyyah Sumenep,Atasan Putih Panjang & Pendek Uk. S-XL ,117,pcs,"Rp  49,000","Rp  5,733,000","Rp  13,833,000","Rp  13,298,250","Rp  3,329,750",yes
,8,MTS - MA Al Kharimiyyah Sumenep,Atasan Putih Panjang & Pendek Uk. 2XL-3XL,18,pcs,"Rp  50,000","Rp  900,000",,,,yes
,8,MTS - MA Al Kharimiyyah Sumenep,Atasan Pramuka Panjang & Pendek Uk. S-XL,181,pcs,"Rp  47,000","Rp  8,507,000",,,,yes
,8,MTS - MA Al Kharimiyyah Sumenep,Atasan Pramuka Panjang & Pendek Uk. 2XL-3XL,31,pcs,"Rp  48,000","Rp  1,488,000",,,,yes
30,9,Pondok Pesantren Mambaul Ma'arif,Seragam Diniyah Santri Putra ,73,pcs,"Rp  98,000","Rp  7,154,000","Rp  12,772,000","Rp  11,838,920","Rp  4,345,080",yes
,9,Pondok Pesantren Mambaul Ma'arif,Seragam Diniyah Santri Putri,86,pcs,"Rp  105,000","Rp  9,030,000",,,,yes
31,10,SMPN 12 Surabaya,Jas OSIS,50,pcs,"Rp  100,000","Rp  5,000,000","Rp  4,008,000","Rp  4,048,000","Rp  952,000",no
32,10,CV Abijaya,T-Shirt Custom ,30,pcs,"Rp  80,000","Rp  2,400,000","Rp  1,672,000","Rp  1,398,460","Rp  1,001,540",no
33,10,Dinas Perhubungan Kota Surabaya,Rompi Petugas Lapangan,300,pcs,"Rp  245,000","Rp  72,397,500","Rp  62,551,500","Rp  64,802,160","Rp  7,595,340",no
34,11,Pondok Pesantren Al Khadijah,Seragam Gamis Pondok ,56,pcs,"Rp  177,000","Rp  9,912,000","Rp  7,923,000","Rp  8,213,000","Rp  1,699,000",yes
35,11,Bank Jatim ,Rompi Juru Parkir,250,pcs,"Rp  165,000","Rp  41,250,000","Rp  26,441,500","Rp  23,184,350","Rp  18,065,650",no
36,11,Designer (Fiki Aisyah),Seragam Gamis,58,pcs,"Rp  125,000","Rp  7,250,000","Rp  4,570,000","Rp  3,213,000","Rp  4,037,000",no
37,12,BPBD Kota Surabaya,PDH BPBD,300,stell,Project Berjalan,Project Berjalan,"Rp  94,462,250",Project Berjalan,Project Berjalan,yes
